Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MPU,Mega Matrix Inc. Class A Ordinary Shares,$0.1711,-0.0299,-14.876%,11707663.00,United States,1998,239760,Consumer Discretionary,Movies/Entertainment
MRT,Marti Technologies Inc. Class A Ordinary Shares,$2.14,-0.15,-6.55%,184131434.00,,2021,78649,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.49,0.017,3.594%,10310899.00,United States,1994,677156,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$9.87,-0.55,-5.278%,922804276.00,Canada,,450720,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.1977,0.00,0.00%,2904766.00,United States,2017,322476,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Class A Ordinary Shares,$1.2108,0.0008,0.066%,6225963.00,,2023,2019,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$9.4146,-0.7354,-7.245%,19262272.00,United States,2003,5615,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$0.3851,-0.0192,-4.749%,18155387.00,,2017,4645,Technology,Computer peripheral equipment
MYO,Myomo Inc. Common Stock,$1.43,-0.06,-4.027%,56639231.00,United States,2017,236588,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$1.56,-0.12,-7.143%,876909793.00,Canada,,5127895,Basic Materials,Precious Metals
NBH,Neuberger Municipal Fund Inc. Common Stock,$10.12,-0.02,-0.197%,0.00,United States,2002,52457,Finance,Finance/Investors Services
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$55.455,0.00,0.00%,153846256.00,United States,,28,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$6.51,-0.27,-3.982%,1204804756.00,Canada,2021,494192,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$1.74,-0.15,-7.937%,668782135.00,,2021,1250795,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$8.03,-0.57,-6.628%,3523408330.00,Canada,2003,5461559,Basic Materials,Precious Metals
NHC,National HealthCare Corporation Common Stock,$218.97,2.44,1.127%,3429375663.00,United States,1986,129223,Health Care,Hospital/Nursing Management
NHS,Neuberger High Yield Strategies Fund Inc. Common Stock,$5.94,-0.01,-0.168%,0.00,United States,,323485,Finance,Trusts Except Educational Religious and Charitable
NINE,Nine Energy Service Inc. Common Stock,$10.43,-0.21,-1.974%,145498396.00,,2026,73166,Energy,Oilfield Services/Equipment
NML,Neuberger Energy Infrastructure and Income Fund Inc. Common Stock,$10.70,-0.05,-0.465%,0.00,United States,2013,158641,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.21,-0.04,-3.20%,30888097.00,United States,,203836,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Real Estate Securities Income Fund Inc. Common Stock,$2.90,-0.01,-0.344%,0.00,United States,2003,109036,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$5.81,-0.20,-3.328%,72960615.00,United States,2023,58722,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NSRX,Nasus Pharma Ltd. Ordinary Shares,$3.825,-0.259,-6.342%,44793841.00,,2025,15681,Health Care,Biotechnology: Pharmaceutical Preparations
NTIP,Network-1 Technologies Inc. Common Stock,$1.57,0.02,1.29%,35895194.00,United States,,27676,Miscellaneous,Multi-Sector Companies
NVA,Nova Minerals Corp Common Stock,$5.18,0.00,0.00%,2336326092.00,,2026,294122,Basic Materials,Precious Metals
NXB,NextBoat Inc. Common Stcok,$2.21,0.02,0.913%,55565798.00,,2025,51506,Industrials,Marine Transportation
OBE,Obsidian Energy Ltd. Common Shares,$12.13,0.68,5.939%,809381164.00,Canada,2022,842068,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$0.499,-0.0108,-2.118%,2251467.00,United States,,16140,Health Care,Biotechnology: Pharmaceutical Preparations
OPHC,OptimumBank Holdings Inc. Common Stock,$8.95,-0.05,-0.556%,112971107.00,United States,,59934,Finance,Major Banks
OPP^C,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. 6.00% Series C Term Preferred Stock (Liquidation Preference $10.00 per share),$10.1501,0.00,0.00%,,United States,,30,,
OPTT,Ocean Power Technologies Inc. Common Stock,$0.1669,-0.0063,-3.637%,45086170.00,United States,2007,2066371,Utilities,Electric Utilities: Central
OSTX,OS Therapies Incorporated Common Stock,$1.66,-0.03,-1.775%,77141511.00,,2024,400269,Health Care,Biotechnology: Pharmaceutical Preparations
OZ,Belpointe PREP LLC Class A Units,$48.075,-0.0972,-0.202%,194879993.00,,,12922,Finance,Real Estate
PAAI,Paradium.AI Inc. Common Stock,$0.93,-0.04,-4.124%,44277907.00,United States,2022,112201,Technology,EDP Services
PAPL,Pineapple Financial Inc. Common Stock,$0.9872,-0.0124,-1.24%,24947726.00,,,19959,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$21.28,0.28,1.333%,,United States,,11060,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.41,0.405,2.131%,,United States,,18577,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$17.67,0.02,0.113%,,United States,,1579,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.27,0.01,0.058%,,United States,,5052,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$17.80,0.00,0.00%,,United States,,167,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$16.3439,-0.6061,-3.576%,,United States,,2231,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$15.83,0.32,2.063%,,United States,,387,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$15.37,0.00,0.00%,,United States,,22,,
PED,Pedevco Corp. Common Stock,$13.77,0.16,1.176%,183031019.00,United States,,11155,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.143,0.0059,4.303%,3821513.00,,2019,4171267,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PHXE^,Phoenix Energy One LLC Series A Cumulative Redeemable Preferred Shares,$24.81,-0.41,-1.626%,,,,5058,,
PLAG,Planet Green Holdings Corp. Common Stock,$0.6511,-0.019,-2.835%,9266920.00,China,,288200,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.43,-0.06,-4.027%,182875710.00,Canada,,1057585,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$2.59,0.02,0.778%,208680553.00,Israel,,598257,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMI,Picard Medical Inc. Common Stock,$3.86,-4.60,-54.374%,9027127.00,,2025,1572856,Health Care,Medical/Dental Instruments
POAS,Phaos Technology Holdings (Cayman) Limited Class A Ordinary Shares,$0.1632,-0.0078,-4.561%,5152551.00,,2025,192469,Industrials,Industrial Machinery/Components
PRK,Park National Corporation Common Stock,$191.41,-3.88,-1.987%,3457661057.00,United States,1994,125693,Finance,Major Banks
PTHS,Pelthos Therapeutics Inc. Common Stock,$24.82,0.74,3.073%,95022601.00,,2024,18866,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PW,Power REIT (MD) Common Stock,$7.42,0.00,0.00%,2724030.00,United States,1998,356468,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$9.05,-0.44,-4.636%,,United States,,1053,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.33,-0.08,-5.674%,114093227.00,United States,2015,282359,Basic Materials,Metal Mining
QNC,Quantum eMotion Corp. Common Shares,$1.96,-0.07,-3.448%,430062553.00,,2026,412382,,
RCG,RENN Fund Inc Common Stock,$2.95,0.009,0.306%,0.00,United States,,867,Finance,Investment Managers
REA,Rare Earths Americas Inc. Common Stock,$13.74,-0.32,-2.276%,274166476.00,,2026,105446,Basic Materials,Metal Mining
REED,Reed's Inc. Common Stock,$0.87,-0.0801,-8.431%,10315665.00,,2025,752310,Consumer Staples,Beverages (Production/Distribution)
REI,Ring Energy Inc. Common Stock,$1.50,0.03,2.041%,390809411.00,United States,,3091237,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$39.43,0.40,1.025%,873523743.00,United States,1999,315847,Energy,Oil & Gas Production
RGNT,Regentis Biomaterials Ltd. Ordinary Shares,$2.06,0.02,0.98%,14469277.00,Israel,2025,38496,Health Care,Industrial Specialties
RLGT,Radiant Logistics Inc. Common Stock,$8.29,-0.25,-2.927%,388234511.00,United States,,183288,Industrials,Integrated Freight & Logistics
ROLR,High Roller Technologies Inc. Common Stock,$6.11,-0.04,-0.65%,67389102.00,,2024,32214,Consumer Discretionary,Services-Misc. Amusement & Recreation
RVP,Retractable Technologies Inc. Common Stock,$0.72,-0.012,-1.639%,21554754.00,United States,2001,15479,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$0.7024,0.0309,4.602%,126590957.00,,2024,37257,Consumer Discretionary,Business Services
SACH,Sachem Capital Corp. Common Shares,$0.873,-0.027,-3.00%,41864394.00,United States,2017,101481,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$21.1501,-0.3349,-1.559%,,United States,,1951,,
SBMT,Silver Bow Mining Corp. Common Shares,$8.61,-0.20,-2.27%,254240385.00,,2026,83511,Basic Materials,Precious Metals
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$24.90,-0.05,-0.20%,1178822971.00,United States,,2753,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$24.60,0.02,0.081%,1164620285.00,United States,2022,3356,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$24.74,0.09,0.365%,1171248205.00,United States,2022,2055,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$24.85,0.0001,0.00%,1176455857.00,United States,2022,1289,Real Estate,Real Estate Investment Trusts
SDEV,Stablecoin Development Corporation Common Stock,$0.8598,-0.0854,-9.035%,43519153.00,United States,,701707,Health Care,Biotechnology: Pharmaceutical Preparations
SEB,Seaboard Corporation Common Stock,$4123.38,213.13,5.451%,3949348624.00,United States,1996,28012,Industrials,Farming/Seeds/Milling
SER,Serina Therapeutics Inc. Common Stock,$2.50,0.08,3.306%,63501183.00,United States,2018,32400,Health Care,Biotechnology: Pharmaceutical Preparations
SIF,SIFCO Industries Inc. Common Stock,$21.51,-1.93,-8.234%,134526293.00,United States,1969,127112,Industrials,Aerospace
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$30.28,0.00,0.00%,5023544990.00,Mexico,1998,354,Industrials,Steel/Iron Ore
SLI,Standard Lithium Ltd. Common Shares,$2.49,-0.18,-6.742%,614492563.00,Canada,2021,2075833,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$0.62,-0.0194,-3.034%,33749859.00,United States,,116967,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$8.25,-0.38,-4.403%,1378041456.00,,2024,241944,,
SMJF,SMJ International Holdings Inc. Class A Ordinary Shares,$1.11,0.05,4.717%,30752550.00,,2025,1924469,Consumer Discretionary,RETAIL: Building Materials
SNSC,SunScout Holding Limited Class A Ordinary Shares,$1.25,-0.08,-6.015%,47625000.00,,2026,54970,Technology,Semiconductors
SOAR,Volato Group Inc. Class A Common Stock,$0.2507,0.0182,7.828%,13445855.00,,2022,16660630,Consumer Discretionary,Transportation Services
SRXH,SRX Global Inc. Common Stock,$1.63,-0.05,-2.976%,33032587.00,,2021,673770,Consumer Staples,Beverages (Production/Distribution)
STRW,Strawberry Fields REIT Inc. Common Stock,$13.60,0.11,0.815%,192539770.00,United States,2023,63553,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.37,-0.07,-4.861%,137276984.00,United States,,598640,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$11.90,-0.54,-4.341%,2628839841.00,Canada,,3186724,Basic Materials,Precious Metals
SYNX,Silynxcom Ltd. Ordinary Shares,$0.8603,-0.0304,-3.413%,5707609.00,,2024,14669,Consumer Staples,Consumer Electronics/Appliances
